395.28	1358.80
396.58	1311.30
397.88	1292.67
399.18	1281.07
400.49	1240.58
401.80	1261.57
403.10	1227.21
404.40	1221.93
405.70	1193.14
407.02	1217.11
408.32	1177.83
409.62	1159.05
410.92	1182.94
412.24	1182.31
413.54	1149.09
414.84	1152.04
416.15	1154.14
417.46	1153.87
418.76	1124.31
420.07	1114.78
421.38	1146.61
422.68	1153.88
423.98	1140.20
425.30	1131.50
426.60	1166.80
427.91	1153.17
429.22	1148.57
430.52	1159.69
431.83	1125.89
433.14	1124.90
434.44	1128.60
435.76	1134.13
437.06	1134.07
438.37	1141.77
439.68	1113.61
440.98	1123.58
442.30	1098.36
443.60	1087.42
444.91	1105.86
446.22	1092.71
447.53	1114.91
448.84	1099.76
450.15	1092.27
451.46	1093.20
452.76	1094.50
454.08	1151.65
455.38	1153.77
456.70	1160.59
458.00	1157.44
459.32	1178.99
460.63	1197.10
461.94	1184.14
463.25	1211.00
464.56	1198.22
465.87	1213.62
467.18	1235.29
468.49	1230.41
469.80	1237.22
471.12	1255.02
472.42	1248.89
473.74	1255.34
475.05	1276.59
476.36	1306.79
477.68	1272.21
478.99	1289.85
480.30	1287.36
481.61	1308.72
482.92	1303.46
484.24	1317.89
485.55	1281.92
486.86	1300.84
488.18	1321.01
489.49	1301.15
490.80	1337.10
492.12	1312.17
493.43	1343.46
494.74	1334.08
496.06	1345.86
497.37	1330.85
498.69	1353.15
500.00	1364.65
501.32	1366.79
502.63	1393.26
503.94	1386.14
505.26	1418.81
506.58	1441.33
507.89	1447.85
509.20	1516.16
510.52	1548.91
511.84	1568.67
513.15	1645.34
514.47	1651.46
515.79	1723.89
517.10	1755.29
518.42	1799.47
519.73	1845.00
521.05	1930.98
522.37	1987.75
523.68	2016.56
525.00	2049.24
526.32	2118.97
527.64	2186.93
528.95	2234.28
530.27	2269.69
531.59	2303.63
532.90	2364.04
534.22	2419.03
535.54	2441.49
536.86	2472.27
538.18	2527.09
539.50	2578.32
540.81	2600.98
542.13	2658.51
543.45	2648.36
544.77	2737.74
546.09	2776.71
547.41	2799.98
548.73	2848.48
550.05	2859.04
551.37	2933.69
552.69	2947.93
554.01	2974.73
555.33	3007.94
556.65	3035.98
557.97	3043.44
559.29	3069.13
560.61	3076.52
561.93	3097.30
563.25	3108.97
564.57	3119.92
565.89	3137.80
567.21	3135.02
568.54	3145.56
569.86	3152.55
571.18	3170.96
572.50	3202.34
573.82	3167.41
575.14	3186.10
576.47	3163.14
577.79	3206.22
579.11	3198.81
580.43	3200.88
581.76	3219.13
583.08	3229.75
584.40	3229.94
585.73	3257.71
587.05	3254.60
588.37	3262.85
589.70	3281.39
591.02	3335.47
592.34	3334.17
593.67	3325.58
594.99	3372.23
596.32	3433.99
597.64	3433.74
598.96	3470.57
600.29	3488.69
601.62	3499.41
602.94	3501.96
604.26	3513.11
605.59	3491.15
606.92	3517.15
608.24	3529.67
609.57	3528.94
610.89	3526.46
612.22	3479.27
613.54	3493.50
614.87	3491.38
616.19	3480.56
617.52	3475.93
618.85	3487.59
620.17	3521.20
621.50	3515.37
622.83	3537.70
624.16	3533.08
625.48	3567.58
626.81	3566.44
628.14	3557.76
629.46	3556.19
630.79	3572.78
632.12	3581.35
633.45	3557.86
634.78	3581.44
636.10	3539.11
637.43	3512.34
638.76	3479.05
640.09	3459.48
641.42	3416.43
642.75	3367.71
644.08	3324.22
645.40	3345.68
646.74	3272.34
648.07	3232.22
649.40	3196.61
650.72	3151.54
652.06	3104.16
653.38	3090.13
654.71	3087.44
656.04	3041.57
657.38	2995.91
658.70	2945.55
660.04	2894.29
661.36	2857.21
662.70	2858.87
664.03	2784.20
665.36	2720.10
666.69	2681.66
668.03	2616.96
669.36	2624.76
670.68	2551.69
672.02	2557.10
673.35	2509.48
674.68	2474.86
676.02	2454.87
677.34	2433.20
678.68	2452.53
680.02	2428.99
681.34	2432.03
682.68	2433.96
684.01	2411.81
685.34	2452.25
686.68	2499.26
688.01	2540.12
689.34	2625.74
690.68	2711.12
692.02	2794.62
693.34	2879.08
694.68	2998.48
696.02	3090.05
697.35	3197.72
698.68	3302.02
700.02	3433.02
701.36	3500.56
702.68	3607.42
704.03	3683.75
705.36	3792.40
706.70	3874.04
708.03	3938.50
709.36	4006.16
710.70	4083.25
712.04	4169.87
713.38	4285.69
714.71	4354.39
716.04	4442.05
717.38	4512.74
718.71	4600.80
720.06	4694.13
721.40	4795.11
722.72	4849.63
724.06	4938.63
725.40	5003.25
726.74	5071.02
728.08	5164.45
729.42	5215.13
730.76	5261.19
732.10	5340.34
733.43	5445.54
734.76	5468.53
736.10	5512.02
737.44	5560.84
738.79	5611.45
740.12	5651.09
741.46	5724.26
742.80	5730.50
744.14	5763.89
745.47	5829.15
746.82	5831.61
748.16	5863.36
749.50	5853.10
750.84	5860.90
752.18	5878.89
753.52	5861.45
754.86	5882.22
756.20	5917.93
757.54	5913.98
758.88	5911.07
760.21	5926.09
761.56	5948.11
762.90	5916.98
764.24	5974.10
765.58	5991.17
766.92	5982.29
768.26	6025.20
769.60	6019.18
770.95	6034.54
772.30	6084.26
773.64	6067.17
774.97	6085.77
776.32	6113.42
777.66	6108.54
779.00	6129.34
780.34	6146.55
781.69	6129.85
783.04	6143.41
784.38	6175.83
785.71	6190.45
787.06	6187.52
788.40	6206.56
789.75	6202.16
791.10	6181.09
792.44	6179.33
793.79	6151.97
795.12	6161.40
796.47	6132.26
797.82	6129.87
799.16	6091.64
800.50	6118.71
801.85	6056.78
803.20	6063.47
804.54	6035.15
805.88	6031.13
807.23	5998.11
808.58	5975.16
809.92	5995.83
